団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
092096,栃木県真岡市,86,85.3,86,86,85.9,10.4,3.6,7.1,10.7
092100,栃木県大田原市,,30,32.3,10.3,13.7,15.7,20.8,23.4,25.9
092118,栃木県矢板市,86.2,85.8,86.7,87.5,88.4,89.2,90.1,90.9,90.2
092134,栃木県那須塩原市,,59.5,61.2,63.1,65.1,67,68.9,70.4,72.4
092142,栃木県さくら市,59.7,60.3,52.3,54.6,56.8,58.3,58.3,60,61.7
092151,栃木県那須烏山市,,,,78.6,80.9,83.3,85.6,87.9,91.9
092169,栃木県下野市,,3.6,19.7,19.2,16.1,19.7,23.2,26.8,30.3
093017,栃木県上三川町,,,,25.4,22.1,74,64.7,66.6,57.9
093424,栃木県益子町,95.1,,94.4,89.2,87.7,90.1,88.6,84.9,86.8
093432,栃木県茂木町,90.4,89.7,92.1,94.1,96.1,88.4,73.1,73.8,74.4
093441,栃木県市貝町,,,39.1,42.9,45.1,47,49.1,51.1,53.2
093459,栃木県芳賀町,,,,65.7,67.8,69.8,71.3,73.4,75.4
093611,栃木県壬生町,34.5,80.6,81.7,84.2,86,86.5,15,18.8,10.8
093645,栃木県野木町,83.1,86.4,87.8,88.8,89.8,90.8,91.8,92.8,93.8
093840,栃木県塩谷町,,,,67.3,68.9,79.2,69.6,71.2,4.8
093866,栃木県高根沢町,,,87.1,88.3,89.6,90.8,92,93.1,94.4
094072,栃木県那須町,42.3,,66.6,68.6,70.6,74.6,76,77.6,79.2
094111,栃木県那珂川町,90.7,91.7,4.1,4.2,6.3,8.5,10.7,12.8,15
102016,群馬県前橋市,,68.7,69,70.9,72.9,74.8,76.9,78.7,79.9
102024,群馬県高崎市,38.6,40.6,42.6,44.5,46.4,48.4,50.4,52.7,54.6
102032,群馬県桐生市,74,76.5,,,,86.2,85.7,85.1,77.1
102041,群馬県伊勢崎市,,54.7,64.1,67.9,68.9,68.5,69.3,69.3,69.4
102059,群馬県太田市,39.5,41.4,43.4,45,47,48.8,50.5,52.5,52.7
102067,群馬県沼田市,77.8,79.5,80.9,82,19.8,21,25.8,29.5,30.8
102075,群馬県館林市,,70.8,72.7,74.4,76,77.9,70.9,70.1,72.2
102083,群馬県渋川市,62.1,62.3,64.2,64,66.7,68.1,70,71.9,73.9
102091,群馬県藤岡市,,65.1,79.1,78.5,80,81.4,82.8,84.3,85.7
102105,群馬県富岡市,89.8,,0.8,3.4,6.7,10,13.4,16.8,20.1
102113,群馬県安中市,54.6,56.2,57.8,59.3,60.6,62,63.5,64.8,64.4
102121,群馬県みどり市,53.9,55.9,57.5,67.3,67.4,70.9,,73.9,74.9
103446,群馬県榛東村,,19,21.7,24.4,27.1,29.8,32.5,35.2,37.9
103454,群馬県吉岡町,56.3,57.3,54.3,54.9,,56.7,57.8,59.9,61.4
103667,群馬県上野村,100,100,,,87.1,93.8,,,
103675,群馬県神流町,,41.8,44.8,47.9,52,54.7,56.1,58.7,61.6
103829,群馬県下仁田町,49.8,50.2,52.5,54.9,57.2,59.6,61.8,63.7,66
103837,群馬県南牧村,68.9,69.1,70.9,72.4,73.8,75.2,76.6,78.1,74.2
103845,群馬県甘楽町,77.4,79.4,81.3,83.2,84.5,85.8,87.1,88.4,90
104213,群馬県中之条町,76.7,74.6,80.4,82.4,83,85,87,89,91
104248,群馬県長野原町,,94.5,,,,6.9,10.3,13.8,17.2
104256,群馬県嬬恋村,72.5,78.1,80,82,83.7,85.7,88.2,,
104264,群馬県草津町,,55.6,57.1,59.1,61.2,63.1,64.8,65,67.2
104281,群馬県高山村,,,,,,93.6,95.9,,
104299,群馬県東吾妻町,69.8,70.9,72,38.8,41.2,41.2,,,
104434,群馬県片品村,,76,80,80,84.3,88,86,82.2,85.2
104442,群馬県川場村,,,96.7,98.9,98.7,99.9,100,100,15.8
104485,群馬県昭和村,76.2,79,81,83.2,87.7,89.8,90.8,5.4,8.5
