団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
016101,北海道新ひだか町,,,,,6.4,8.1,10.5,12.7,14.9
016314,北海道音更町,,,,,,,,,
016322,北海道士幌町,,,,,,,,,88.3
016331,北海道上士幌町,,,,,,,,,
016349,北海道鹿追町,,,,,,,,,
016357,北海道新得町,,70.4,72.9,75.3,77.7,79.3,81.8,84.2,86.6
016365,北海道清水町,,23.3,30,6.1,8.1,13.9,19.5,25.2,30.9
016373,北海道芽室町,,,,,76.5,69.9,63.2,65.3,66.3
016381,北海道中札内村,,41.8,43.8,45,47,47.7,49.5,51.8,54.3
016390,北海道更別村,,,,,,,,,
016411,北海道大樹町,34,,,,61.4,40.8,41.1,70.3,73.1
016420,北海道広尾町,,,69.2,,,,,,
016438,北海道幕別町,,70.8,70.5,72.1,73.5,76.2,77.5,75,77.9
016446,北海道池田町,,57.4,60.4,63.4,66.4,67.4,70.5,73.5,76.7
016454,北海道豊頃町,,48.3,50.5,,,,,,
016462,北海道本別町,,,,,,,,,
016471,北海道足寄町,,43.2,45.4,47.6,48.7,47.9,50.3,50.4,52.6
016489,北海道陸別町,,,,,,,,,
016497,北海道浦幌町,,,,,,,,,
016616,北海道釧路町,,,,,,,,,
016624,北海道厚岸町,,,81.8,74.9,75.6,77.8,77.8,77.8,77.8
016632,北海道浜中町,63.5,56.7,58.4,60.6,67.9,62.8,66.8,71.1,73.3
016641,北海道標茶町,,,80.1,,,,,,
016659,北海道弟子屈町,,70,72.3,72.3,74.4,76.6,81.4,83.7,81.3
016675,北海道鶴居村,,,,,,,,,
016683,北海道白糠町,,,76.6,94.6,96.8,99,82.6,84.1,83.7
016918,北海道別海町,,,,,,,,,
016926,北海道中標津町,,49,50.2,50,50.3,51,53.3,55.7,58.2
016934,北海道標津町,48.4,50.6,52.7,54.8,56.9,59,61,63,61.9
016942,北海道羅臼町,,,,,,,,,
022012,青森県青森市,,48.6,73.3,75.4,77.6,77,81.8,83.6,85.4
022021,青森県弘前市,,37.4,39.1,40.7,41.9,43.8,45.7,35.1,36.4
022039,青森県八戸市,,70.6,72.4,74.1,77.4,79.1,56,57.9,59.5
022047,青森県黒石市,72.6,74.8,77,79.2,81.4,83.6,85.8,88,90.2
022055,青森県五所川原市,,,,,,,,,
022063,青森県十和田市,60,62,64,68,68,35.6,35.2,37.2,39.2
022071,青森県三沢市,,73.6,76.1,57.5,59.9,62.3,64.7,67.1,69.4
022080,青森県むつ市,,,,,,,61.1,63.1,65.1
022098,青森県つがる市,,,,,,,,,
022101,青森県平川市,,46.7,35.7,,,45.3,47.5,34.6,51.9
023019,青森県平内町,,,,,,,,,
023035,青森県今別町,,72.5,70.8,72.7,74.7,66.7,68.1,67,68.7
023043,青森県蓬田村,,,,,,,,,
023078,青森県外ヶ浜町,,,,,,,,,
023213,青森県鰺ケ沢町,,,,,,91.9,98.6,98.6,52
023230,青森県深浦町,,,,,,,,,
023434,青森県西目屋村,,,,,,,,,
023612,青森県藤崎町,76.9,73.7,76.7,46.8,53.8,57.3,60.8,64,64.5
023621,青森県大鰐町,,,,,,,,,
023671,青森県田舎館村,64,64,,,,,,,
023817,青森県板柳町,65.9,68.1,70.3,72.5,74.7,76.2,77.4,78.5,79.7
023841,青森県鶴田町,,,,,,,,,
