団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
054631,秋田県羽後町,76.6,56.4,59.1,61.8,64.5,67.2,69.7,67.2,70.1
054640,秋田県東成瀬村,76.6,,59.1,61.8,64.5,67.2,67.2,69.8,70.1
062014,山形県山形市,64,64,74.5,56.2,59,57.3,65.8,72.8,75.4
062022,山形県米沢市,,,,,,,,,
062031,山形県鶴岡市,54.9,57.6,60.3,54.1,65.5,14.5,29.6,32.3,34.7
062049,山形県酒田市,56.4,58.6,60.8,62.7,64.6,67.2,77.4,72.4,74.2
062057,山形県新庄市,46.6,48.8,51.2,50,53.1,56.3,58.4,61.5,64.2
062065,山形県寒河江市,,,,,,,,,
062073,山形県上山市,51.3,79.4,39.7,29.9,33,33.4,36.7,40.1,40.8
062081,山形県村山市,,67.7,70.1,72.5,70.5,72.9,75.6,77.9,78.9
062090,山形県長井市,,65.4,68.7,68.7,72,75.3,78.6,81.9,85.3
062103,山形県天童市,,,,,,,,,
062111,山形県東根市,,,,,,,,,
062120,山形県尾花沢市,,,,,,,,,53.3
062138,山形県南陽市,,54,49.9,52.7,55.4,42.8,49.6,52.5,54.2
063011,山形県山辺町,,,,,,,,,
063029,山形県中山町,,,,,,,,,
063215,山形県河北町,,,,,,,,,
063223,山形県西川町,60.5,68.5,69.7,70.1,71.8,72.8,75,76.5,77.8
063231,山形県朝日町,60.5,,69.7,70.1,71.8,73.4,69.7,69.7,69.7
063240,山形県大江町,,,69.7,70.1,71.8,72.8,75,76.5,77.8
063410,山形県大石田町,,,,,,,,,
063614,山形県金山町,,,,,,,,,
063622,山形県最上町,,,,,,,,,
063631,山形県舟形町,,,,,57.1,60.1,62.4,62.5,67.8
063649,山形県真室川町,,,,,,,,,
063657,山形県大蔵村,,,,,,,,,
063665,山形県鮭川村,,,,,,,,,
063673,山形県戸沢村,,,,,,,,,
063819,山形県高畠町,,53.8,50.4,52.6,55.2,64.2,48.6,51.8,55.1
063827,山形県川西町,,,,52.7,,63.9,52.2,54.9,57.4
064017,山形県小国町,,,,,,,,,
064025,山形県白鷹町,,,,,,,,,
064033,山形県飯豊町,,,,,,,,,
064262,山形県三川町,,,,,,,,,
064289,山形県庄内町,,64,66.1,67.7,69.9,71.9,70,72.1,74
064611,山形県遊佐町,,64.4,66.5,68.1,70.2,72.2,70,72.1,74
072010,福島県福島市,,,,53.4,67,70.7,62,67.1,67.7
072028,福島県会津若松市,,80.2,82.9,84.7,86,65.2,67,53.4,55.3
072036,福島県郡山市,74.3,70.3,68.8,71.3,73.8,76.2,78.6,74.7,77.3
072044,福島県いわき市,,46.2,28.8,36.1,39,41.2,44.2,47.2,50
072052,福島県白河市,,,83.6,85.4,83.8,86.2,87.6,89,90.4
072079,福島県須賀川市,78.2,60.1,62.8,35.5,38.1,34.6,35.9,38.6,36.7
072087,福島県喜多方市,,80.3,83.2,86.2,89.1,90.6,92.1,91.8,90
072095,福島県相馬市,,,90.3,92.8,95.2,97.7,99.2,100,100
072109,福島県二本松市,,,,,,,,,
072117,福島県田村市,90,91.8,93.3,95.9,95.9,98.7,98.9,99.1,19.5
072125,福島県南相馬市,,,69.2,71.8,,,,,
072133,福島県伊達市,,46.1,48.8,51.5,54.2,56.9,59.6,62.3,65
072141,福島県本宮市,,,36.7,39.3,32.9,32.3,54.4,57.5,60.3
073016,福島県桑折町,,44.7,49.8,34.4,55.2,57.9,60.6,63.3,66
073032,福島県国見町,,,,,,57.1,59.8,62.5,65.2
073083,福島県川俣町,,59.8,64.8,66.9,69.2,70.4,73.2,75.3,77.4
073229,福島県大玉村,,,43.6,46.8,50.9,52.7,55.8,58.8,61.8
073423,福島県鏡石町,,60.1,62.8,35.5,38.1,34.6,35.9,38.6,36.7
073440,福島県天栄村,,,,,,,,,
073644,福島県檜枝岐村,,,92.7,66.6,69.4,63.2,,,
073679,福島県只見町,,,,,,,,,
073687,福島県南会津町,,,62.2,70.7,73.3,76,78.6,81,
074021,福島県北塩原村,,80.3,83.2,86.2,89.1,90.6,92.1,91.8,90
074055,福島県西会津町,,80.3,83.2,86.2,89.1,90.6,92.1,91.8,90
074071,福島県磐梯町,,80.2,82.9,84.7,86.1,64.5,66.3,52.7,54.6
074080,福島県猪苗代町,,80.2,82.9,84.7,86.1,64.9,66.7,53.3,55.1
074217,福島県会津坂下町,,,82.8,84.6,85.9,64.9,66.8,52.5,54.5
074225,福島県湯川村,,,,,,,,,
074233,福島県柳津町,,,,,,,,,
074446,福島県三島町,,,,,,,66.8,52.3,54.3
074454,福島県金山町,,80.2,82.8,84.6,85.9,64.5,66.5,51.6,53.7
074462,福島県昭和村,16.5,,,,,,,,
074471,福島県会津美里町,,80.2,82.8,84.5,85.8,65.7,67.4,54.9,56.6
074616,福島県西郷村,,,83.5,85.2,84.1,86.5,84.1,89.1,90.4
074641,福島県泉崎村,,,,54.4,57.1,59.7,62.4,65,67.7
074659,福島県中島村,,,,53.5,56.9,59.6,62.3,65,67.7
074667,福島県矢吹町,,,51.7,54.4,57,59.7,59.7,,67.7
074811,福島県棚倉町,,44.1,49.3,42.5,46,39.8,43.9,48.1,52.3
074829,福島県矢祭町,,,,,,,,,
074837,福島県塙町,,40.5,41.5,42.4,46,39.8,43.9,48.1,52.3
074845,福島県鮫川村,,,51.8,,,,,,
075019,福島県石川町,,,94.5,97.2,99.9,100,100,100,
075027,福島県玉川村,,84.4,87.3,90.1,91.9,77.2,61.7,,66
075035,福島県平田村,,,,,,,,,
075043,福島県浅川町,,84.4,87.3,90.1,91.9,77.2,61.7,63.8,66
075051,福島県古殿町,,,,,,,,,
075213,福島県三春町,,71.1,73.1,75.4,79.8,81.7,88.4,90.4,24.7
075221,福島県小野町,,53.7,56.5,59.2,61.9,,,,
075418,福島県広野町,,60.2,63,62.9,63.1,61.8,84.4,72.6,74.4
075426,福島県楢葉町,,,63,62.9,63.1,61.8,84.4,72.6,74.4
