団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
016314,北海道音更町,,74.2,72.4,74.9,77.2,80.4,82.2,83.4,84.2
016322,北海道士幌町,,87.9,89.2,90.5,91.7,,93.6,81,94.5
016331,北海道上士幌町,,,,,,,,,
016349,北海道鹿追町,,62.6,,66.9,68.3,69.8,71.3,72.7,74.2
016357,北海道新得町,,66.1,68.1,70.1,72.1,71.8,73.8,69.8,71.2
016365,北海道清水町,,71.7,73.7,75.8,77.9,80,82.2,84.2,86.3
016373,北海道芽室町,42.8,45,47.2,46,73.9,75.6,66.6,68.7,68.8
016381,北海道中札内村,,,,,,,,,
016390,北海道更別村,,,,,,,,,
016411,北海道大樹町,,36,,,,,,,
016420,北海道広尾町,,96.6,87,100,100,100,100,100,100
016438,北海道幕別町,,67.4,70.3,73.2,76.1,81.9,84.8,65,88.3
016446,北海道池田町,76.1,,,,,,,,
016454,北海道豊頃町,25.5,30,31.9,,,,,,
016462,北海道本別町,,31.9,34.4,36.8,,41.7,44.1,44.1,48.9
016471,北海道足寄町,,,,,,,,,
016489,北海道陸別町,66,68,70,70.5,72.6,74.8,76.9,79,77.3
016497,北海道浦幌町,,,80,82,84,88,90,92,94
016616,北海道釧路町,,,,,,64,64.1,65.7,66.8
016624,北海道厚岸町,,65.2,67.2,69.2,71.2,73.2,73.2,82.6,81.1
016632,北海道浜中町,,,,,62.9,69.3,71.1,,
016641,北海道標茶町,,,100,100,100,98,100,100,100
016659,北海道弟子屈町,,100,100,100,100,100,100,100,100
016675,北海道鶴居村,,,,,,,,,
016683,北海道白糠町,,71.1,73.2,74.9,76.8,76.4,80,82,84
016918,北海道別海町,77.1,78.6,80.1,81.8,83.8,85.8,87.8,19.8,21.9
016926,北海道中標津町,,,,,,,,,
016934,北海道標津町,,,,,,,,,
016942,北海道羅臼町,90.9,93,94.8,96.5,98.3,,,,
022012,青森県青森市,,42.2,44.2,46.1,48.1,49.8,51.7,53.4,55
022021,青森県弘前市,,66.7,68.6,70.5,72.4,74.3,76.2,78.1,79.8
022039,青森県八戸市,,47.9,46.9,47.9,50.5,52.5,54.6,56.7,58.4
022047,青森県黒石市,68.3,73.9,75.5,77,78.5,79.9,81.3,83.9,82.1
022055,青森県五所川原市,,81.5,82.8,83.4,84.8,83.5,85.5,87.5,89.6
022063,青森県十和田市,66.9,72.9,74.9,79,,,,,
022071,青森県三沢市,,73.6,76.1,57.5,59.9,62.3,64.7,67.1,69.4
022080,青森県むつ市,,69.3,69.7,70.4,71,72.3,73.7,75.1,75.4
022098,青森県つがる市,65.3,74.1,76.1,78.3,80.4,73.5,75.7,78.1,80.6
022101,青森県平川市,,74.4,76.1,,,48.2,46.9,49,50.8
023019,青森県平内町,,86.2,87.5,88.7,90,91.2,92.5,93.7,95
023035,青森県今別町,70.9,72.5,74.1,75.7,77.4,79,80.7,81.1,84
023043,青森県蓬田村,52.3,54.6,56,58.4,59.9,60.3,62.9,65.5,68.1
023078,青森県外ヶ浜町,,79.8,88.1,89.2,90.3,91.3,92.4,93.5,94.6
023213,青森県鰺ケ沢町,42.4,68.8,74.6,,,80.8,82.4,84.3,85.2
023230,青森県深浦町,83.3,85.1,87,88.9,68.1,70,71.9,73,74
023434,青森県西目屋村,61.1,63.8,63.7,68.9,71.3,73.8,74.3,76.9,79.5
023612,青森県藤崎町,45.3,44.8,36,38.9,44.6,47.4,49.8,50.2,53.1
023621,青森県大鰐町,,90.2,92.2,94.2,96.2,97.5,97.3,96.7,83.6
023671,青森県田舎館村,72.9,74.8,,76.4,46.1,26.6,29.2,7.5,10.4
023817,青森県板柳町,77.2,78.9,80.5,82.1,83.7,85,86.6,87.1,98.1
023841,青森県鶴田町,67.8,69.7,71.7,73.6,75.6,77.5,79.5,81.5,83.4
023876,青森県中泊町,,89.2,,,,98.4,97.7,98.2,
024015,青森県野辺地町,78.6,81.6,82,83.9,83.9,85.7,85.6,87.2,92.8
024023,青森県七戸町,82.3,82.9,83.4,84,84.6,82.7,83.5,80.6,81.5
024058,青森県六戸町,57.8,59.5,61.2,62.9,64.6,77.7,80,83.1,84.5
024066,青森県横浜町,65.5,66.7,65.9,67.1,68.5,69.8,65.9,72.6,73.4
024082,青森県東北町,,81.7,84,85.7,87.6,89.6,91.8,93.8,95.7
024112,青森県六ケ所村,,57,58.7,60.3,60.6,59.9,59.9,63.5,53.6
024121,青森県おいらせ町,69.5,74.2,76.6,79,80.5,82,82.1,83.7,
024236,青森県大間町,,50,52.7,55.4,58,60.7,63.3,66,68.6
024244,青森県東通村,,,,,,,,,
024252,青森県風間浦村,98.9,99.5,100,100,100,100,100,100,100
024261,青森県佐井村,,,,,,,,,
024414,青森県三戸町,84.6,84.6,86.2,87.7,89.1,89.6,90.7,91.9,93.1
